SKU,Descripcion Revista,Marca,Categoria,Stock,Vos Pagas,Puntos
170152,HUMOR TRANSFORMA DES CRP 100ML ARG,NATURA,Desodorante,73581,7320,5
174345,TODODIA ESFOL AMR V JABU GEL ESF 100G,NATURA,Jabones,34913,3690,2
69654,KAIAK FEM DES AXILAR ROLL ON 75ML,NATURA,Desodorante,10137,2990,2
134679,TODODIA HID FLOR MACA 50ML AVN,NATURA,Cuerpo,24194,5010,3
140916,EKOS  SPRAY AMBIENTES MARAC 150ML LTM,NATURA,Perfumería,17299,14070,9
152289,TODODIA HID FAC SPR PREB FLO GEN 100ML,NATURA,Cuerpo,22700,10280,7
174190,EKOS HID MAOS TUKUMA 40G,NATURA,Cuerpo,12889,4380,3
170797,EKOS SAB LIQ ESF MARACUJA 100ML LTM,NATURA,Cuerpo,11544,4430,3
146425,EKOS OLEO DES TRIF ACAI 100ML LTM,NATURA,Aceite,15885,12790,8
197209,EKOS OLEO TRIF DES MARACU CORPORAL 100ML,NATURA,Aceite,16338,12790,8
19915,EKOS DES HID POLPA TUKUMA ES 400ML,NATURA,Cuerpo,7545,13930,9
102404,NATURE CPP COND CACHOS 250ML,NATURA,Cabello,14761,3080,2
109127,HUMOR DES COL MEU PRIM BODY SPLASH 200ML,NATURA,Perfumería,656,16900,11
139961,HUMOR PRIM GELEIA BANHO PARTI ILUM 75ML,NATURA,Cuerpo,12914,9980,6
176282,HOMEM SH NOS CABELO E CORPO 100ML,NATURA,Cabello,10403,2940,2
194512,EKOS EDT FRESCOR PITANGA 75ML LTM,NATURA,Perfumería,10185,14070,9
174611,EKOS DES HID CORP PITANGA PRETA 250ML,NATURA,Cuerpo,6173,8820,6
56744,MEU PRIMEIRO HUMOR DES SPR FEM 100ML ARG,NATURA,Desodorante,0,7700,5
121596,EKOS SH MURUMURU NFV 30ML LTM,NATURA,Cabello,9223,3380,2
155903,EKOS SAB BAR PIT PRETA 4X25G,NATURA,Jabones,29,3300,2
102728,KAIAK OCEANO FEM DES SPRAY 100ML,NATURA,Desodorante,259,6930,5
132965,TODODIA PERF AROM AMB NOT 200ML LTM,NATURA,Perfumería,7486,14890,10
173429,EKOS OLEO DES BREU 100ML,NATURA,Aceite,8581,12790,8
174621,EKOS DES HID BREU BRANCO CORP 250ML,NATURA,Cuerpo,7111,8820,6
102409,NATURE COL ESCONDE ESCONDIDAS 100ML,NATURA,Perfumería,4031,10100,7
218372,KAIAK PERF VITAL FEM MINI HIDRA LTM,NATURA,Perfumería,4578,15060,8
160263,EKOS HID MAOS MARACUJA WINNY 24 75G,NATURA,Cuerpo,2985,7040,5
170739,FACES GEL GLITTER CRISTAL 80G,NATURA,Maquillaje,8671,8750,6
129916,TODODIA DEO ROLL ON PREB CASSIS 70ML ARG,NATURA,Desodorante,0,3660,2
103150,FOTOEQ LOC PRO CRIANCA FPS50 200ML LTM,NATURA,Protección Solar,6801,20240,12
186436,áEKOS SAB BAR CASTANHA 2X100GáGBL,NATURA,Jabones,3375,6290,4
159918,KAIAK FEM SAB BAR OCEANO 90G,NATURA,Jabones,1,1650,1
166873,NATURE COND VERAO 250ML,NATURA,Cabello,4326,3900,3
86954,LUMINA RF MASC COND QUIMI DANI 250ML,NATURA,Cabello,5230,6390,4
171367,LUMINA ESSENC PERF CAB ATH PS 30ML,NATURA,Cabello,4704,11590,7
178241,HOMEM ESSENCE GEL DE BARBEAR 75G,NATURA,Barba,2597,3840,2
95807,AGUAS COLONIA LIRIO 150ML ARG,NATURA,Perfumería,3934,16800,11
92566,UNA GLOSS LABIAL FPS15 ROSA 101 SSG,NATURA,Maquillaje,4504,13000,8
103148,FOTOEQ LOC PROTETORA FPS30 200ML LTM,NATURA,Protección Solar,4602,14920,10
111428,"FACES BATOM LIQ ROXO DIGITAL 5,5ML TERC",NATURA,Maquillaje,3655,10150,7
16623,KAIAK OCEANO MASC DES SPRAY 100ML,NATURA,Desodorante,#N/A,8460,5
150186,LUNA SAB LIQ ABSOLUTA 100ML,NATURA,Cuerpo,3740,12000,7
65830,FACES DELINEADOR CANETA PRETA 1ML TERC,NATURA,Maquillaje,25617,4850,3
119424,UNA BATOM LIQ LIPSTAIN ROUGE 3G TERC,NATURA,Maquillaje,4640,10600,7
151703,"FACES BATOM LAPIS MATTE LARAN 1,2G TERC",NATURA,Maquillaje,2743,10150,7
92603,UNA GLOSS LABIAL FPS15 BOCA 100 SSG,NATURA,Maquillaje,3977,13000,8
92806,MMBB LOCAO HID RELAXANTE 200ML BTV,NATURA,Jabones,3,6840,4
121608,EKOS COND PATAUA NFV 30ML LTM,NATURA,Cabello,1667,3380,2
151548,ESSENCIAL CRM BARBA EXCLU 75ML,NATURA,Barba,224,4100,3
125365,NAT HOMEM ELO SHAMPOO 200ML,NATURA,Cabello,2890,5560,4
181018,CTR DELINEADOR RETR COBRE,AVON CFT,Maquillaje,23447,4010,3
158893,CT LABIAL BARRA KISS MAT FUCSIA,AVON CFT,Maquillaje,22440,4940,3
178161,"FACES BATOM LIQ CEREJA LIKE 5,5ML TERC",NATURA,Maquillaje,11189,10150,7
181019,CTR DELINEADOR RETR ONIX,AVON CFT,Maquillaje,24629,4010,3
111425,"FACES BATOM LIQ RED LOVE 5,5ML TERC",NATURA,Maquillaje,12273,10150,7
181016,CTR DELINEADOR RETR SOFISTICADO,AVON CFT,Maquillaje,22832,4010,3
181017,CTR DELINEADOR RETR BEIGE,AVON CFT,Maquillaje,21828,4010,3
135592,CTR KISS MATTE L┴PIZ LABIAL VINO,AVON CFT,Maquillaje,16640,4940,3
135601,CT LABIAL BARRA KISS MAT ROJO CLASIC C4,AVON CFT,Maquillaje,15764,4940,3
135083,AVON LABIAL BARRA ULT MAT TRUEST RED,AVON CFT,Maquillaje,12161,9520,6
135593,CTR KISS MATTE L┴PIZ LABIAL ROSA TRENDY,AVON CFT,Maquillaje,13388,4940,3
135595,CT LABIAL BARRA KISS MAT MALVA C4,AVON CFT,Maquillaje,12896,4940,3
135538,AVON LABIAL BARRA ULT MAT HOT PLUM,AVON CFT,Maquillaje,10161,9520,6
207391,ANEW GEL LIMPIADOR FACIAL REFOR 125G,AVON CFT,Rostro,22247,10450,7
208698,AVON ULTRA MATTE LABIAL ADORING LOVE,AVON CFT,Maquillaje,761,9520,6
111426,"FACES BATOM LIQ MARSALA 5,5ML TERC",NATURA,Maquillaje,3438,10150,7
111427,"FACES BATOM LIQ LARANJ SUMMER 5,5ML TERC",NATURA,Maquillaje,3610,10150,7
208704,AVON ULTRA CREAMY LABIAL RED 2000,AVON CFT,Maquillaje,10222,9520,6
170906,FACES MASCARA CJ OLHOS LAPIS 8ML,NATURA,Maquillaje,3245,7450,5
109144,FACES DELINEADOR RETRAT PINK 280MG TERC,NATURA,Maquillaje,3202,7700,5
135533,AVON LABIAL BARRA ULT CREM WINE,AVON CFT,Maquillaje,6869,9520,6
177729,FACES SOMBRA CHUMBO DESIRE TERC,NATURA,Maquillaje,2757,9900,7
207540,BLACK SUEDE REAL EDT PARA ╔L 100ML,AVON CFT,Perfumería,4941,22080,12
9910,FACES LAPIS PARA OLHOS PRETO TERC,NATURA,Maquillaje,8317,7700,5
109143,FACES DELINEADOR AZUL 1ML ARG,NATURA,Maquillaje,12054,13840,9
109142,FACES DELINEADOR MARROM 1ML ARG,NATURA,Maquillaje,4562,7700,5
177725,FACES DELINEADOR RETRAT ROXO 280MG TERC,NATURA,Maquillaje,4399,9520,6
